Algoritmo,Branch fact,Threshold,Tiempo(s),Calinski-Harabasz,Silhouette,n clusters
birch,15,0.100,0.087,336.711,0.48426,5
birch,15,0.150,0.065,192.073,0.58865,5
birch,15,0.200,0.060,206.873,0.60273,5
birch,15,0.250,0.062,,,1
birch,15,0.300,0.049,,,1
birch,20,0.100,0.147,173.266,0.58162,5
birch,20,0.150,0.077,180.842,0.58567,5
birch,20,0.200,0.046,206.873,0.60273,5
birch,20,0.250,0.053,,,1
birch,20,0.300,0.052,,,1
birch,25,0.100,0.153,312.603,0.49236,5
birch,25,0.150,0.064,184.304,0.57974,5
birch,25,0.200,0.045,206.873,0.60273,5
birch,25,0.250,0.051,,,1
birch,25,0.300,0.043,,,1
birch,30,0.100,0.136,292.036,0.52240,5
birch,30,0.150,0.059,184.304,0.57974,5
birch,30,0.200,0.066,206.873,0.60273,5
birch,30,0.250,0.057,,,1
birch,30,0.300,0.074,,,1
birch,35,0.100,0.129,355.783,0.42852,5
birch,35,0.150,0.058,184.304,0.57974,5
birch,35,0.200,0.061,206.873,0.60273,5
birch,35,0.250,0.061,,,1
birch,35,0.300,0.054,,,1